Frame;DeltaTime;FPS
0;0.0018544;539
1;0.0022367;447
2;0.0020854;480
3;0.0019736;507
4;0.0018895;529
5;0.0019872;503
6;0.0038138;262
7;0.0031215;320
8;0.0027937;358
9;0.0023708;422
10;0.0045994;217
11;0.0045737;219
12;0.0046879;213
13;0.0031302;319
14;0.0029593;338
15;0.0038158;262
16;0.0034581;289
17;0.003547;282
18;0.003806;263
19;0.0029912;334
20;0.0031165;321
21;0.0040671;246
22;0.0030727;325
23;0.0033625;297
24;0.0036764;272
25;0.0045792;218
26;0.0041784;239
27;0.0027068;369
28;0.003041;329
29;0.0050626;198
30;0.0043457;230
31;0.0033418;299
32;0.0028404;352
33;0.0028539;350
34;0.0043185;232
35;0.0026921;371
36;0.0026049;384
37;0.0026403;379
38;0.0031411;318
39;0.0034246;292
40;0.0033445;299
41;0.0029214;342
42;0.0026208;382
43;0.0027003;370
44;0.003299;303
45;0.0034813;287
46;0.0033315;300
47;0.0029173;343
48;0.0025145;398
49;0.0026798;373
50;0.0030219;331
51;0.0032965;303
52;0.0023559;424
53;0.0024323;411
54;0.0024989;400
55;0.0025914;386
56;0.0031802;314
57;0.0030469;328
58;0.0033248;301
59;0.0031544;317
60;0.0039899;251
61;0.004233;236
62;0.0030467;328
63;0.0027781;360
64;0.0032482;308
65;0.0039385;254
66;0.0026497;377
67;0.0034645;289
68;0.0026868;372
69;0.0026264;381
70;0.0051093;196
71;0.0026758;374
72;0.002823;354
73;0.0036628;273
74;0.0027005;370
75;0.0035152;284
76;0.0026455;378
77;0.0026504;377
78;0.002808;356
79;0.0026175;382
80;0.0032406;309
81;0.0025901;386
82;0.0026655;375
83;0.0029246;342
84;0.0032228;310
85;0.0028164;355
86;0.0032659;306
87;0.0028;357
88;0.002487;402
89;0.0023576;424
90;0.0026179;382
91;0.0025186;397
92;0.0044176;226
93;0.0033121;302
94;0.0031596;316
95;0.0032868;304
96;0.0033571;298
97;0.0024546;407
98;0.0027367;365
99;0.0028406;352
