Frame;DeltaTime;FPS
0;0.0236006;42.3718
1;0.0215374;46.4309
2;0.0192472;51.9556
3;0.0220815;45.2868
4;0.0210359;47.5378
5;0.0202909;49.2832
6;0.021809;45.8526
7;0.0203663;49.1007
8;0.0218114;45.8476
9;0.0220082;45.4376
10;0.0206486;48.4294
11;0.01977;50.5817
12;0.0217121;46.0573
13;0.0213198;46.9048
14;0.0208377;47.9899
15;0.0200608;49.8485
16;0.0225015;44.4415
17;0.0189381;52.8036
18;0.0189871;52.6673
19;0.0205581;48.6426
20;0.0216036;46.2886
21;0.021302;46.944
22;0.0214503;46.6194
23;0.0206922;48.3274
24;0.0216381;46.2148
25;0.0206777;48.3613
26;0.0211315;47.3227
27;0.0201983;49.5091
28;0.0223511;44.7405
29;0.0236267;42.325
30;0.0221463;45.1543
31;0.0210139;47.5875
32;0.0237464;42.1116
33;0.0218207;45.828
34;0.0214124;46.7019
35;0.0231062;43.2784
36;0.0212499;47.059
37;0.0216181;46.2575
38;0.021668;46.151
39;0.0214043;46.7196
40;0.0219391;45.5807
41;0.0225114;44.4219
42;0.021715;46.0511
43;0.0217796;45.9145
44;0.0228817;43.703
45;0.0223639;44.7149
46;0.0222207;45.0031
47;0.0205206;48.7315
48;0.0216656;46.1561
49;0.0207096;48.2868
50;0.0213366;46.8678
51;0.0210988;47.3961
52;0.0213903;46.7502
53;0.01991;50.226
54;0.0207377;48.2214
55;0.0210841;47.4291
56;0.0210943;47.4062
57;0.0211711;47.2342
58;0.0211768;47.2215
59;0.0216916;46.1008
60;0.020583;48.5838
61;0.0211944;47.1823
62;0.0211331;47.3191
63;0.0202269;49.4391
64;0.0205093;48.7584
65;0.0212442;47.0717
66;0.0207791;48.1253
67;0.0211446;47.2934
68;0.0200379;49.9054
69;0.0219596;45.5382
70;0.0209672;47.6935
71;0.0200767;49.809
72;0.0220048;45.4446
73;0.021092;47.4113
74;0.0211712;47.234
75;0.0226083;44.2315
76;0.0190758;52.4224
77;0.022032;45.3885
78;0.0221474;45.152
79;0.0219107;45.6398
80;0.0204901;48.8041
81;0.0214985;46.5149
82;0.0217451;45.9874
83;0.0211182;47.3525
84;0.019604;51.01
85;0.0216756;46.1348
86;0.0198769;50.3097
87;0.0204863;48.8131
88;0.0217027;46.0772
89;0.0196372;50.9238
90;0.0204009;49.0174
91;0.0220588;45.3334
92;0.0192243;52.0175
93;0.02194;45.5788
94;0.0204066;49.0038
95;0.0205434;48.6774
96;0.024549;40.7349
97;0.0183895;54.3789
98;0.0201894;49.5309
99;0.0200003;49.9993
