Frame;DeltaTime;FPS
0;0.0373168;27
1;0.0362899;28
2;0.0372654;27
3;0.0357388;28
4;0.036221;28
5;0.0373739;27
6;0.0357688;28
7;0.0358452;28
8;0.0392453;25
9;0.0348432;29
10;0.0383455;26
11;0.0379505;26
12;0.0368979;27
13;0.0363364;28
14;0.0376148;27
15;0.0365712;27
16;0.0367894;27
17;0.0367254;27
18;0.0363047;28
19;0.0368516;27
20;0.0370089;27
21;0.0366747;27
22;0.0369867;27
23;0.0371986;27
24;0.0373864;27
25;0.0368597;27
26;0.0365398;27
27;0.0359835;28
28;0.0358464;28
29;0.0393781;25
30;0.0339723;29
31;0.0359743;28
32;0.0374042;27
33;0.03502;29
34;0.0362862;28
35;0.03684;27
36;0.0365229;27
37;0.0367857;27
38;0.0368103;27
39;0.0372225;27
40;0.0362364;28
41;0.0359986;28
42;0.0373954;27
43;0.0369645;27
44;0.0370372;27
45;0.0373787;27
46;0.036385;27
47;0.0364178;27
48;0.0362235;28
49;0.0378485;26
50;0.0363268;28
51;0.0394116;25
52;0.0338701;30
53;0.0361653;28
54;0.0364313;27
55;0.0362537;28
56;0.0363769;27
57;0.0364777;27
58;0.0378117;26
59;0.0366702;27
60;0.036437;27
61;0.0364629;27
62;0.0368335;27
63;0.0363049;28
64;0.0374123;27
65;0.0366528;27
66;0.0360914;28
67;0.0366176;27
68;0.0366091;27
69;0.0366661;27
70;0.0378073;26
71;0.0363592;28
72;0.0364733;27
73;0.0363492;28
74;0.0369776;27
75;0.0363291;28
76;0.0405731;25
77;0.0339538;29
78;0.0361544;28
79;0.0375454;27
80;0.0357934;28
81;0.0364886;27
82;0.0368341;27
83;0.0361006;28
84;0.036751;27
85;0.0359007;28
86;0.0374207;27
87;0.0368719;27
88;0.0382657;26
89;0.035885;28
90;0.0365112;27
91;0.0362937;28
92;0.0365373;27
93;0.0363655;27
94;0.0359536;28
95;0.0367075;27
96;0.0360643;28
97;0.0373725;27
98;0.0357271;28
99;0.0368634;27
