Frame;DeltaTime;FPS
0;0.0019879;503
1;0.0029876;335
2;0.0050485;198
3;0.0034063;294
4;0.0034115;293
5;0.0033531;298
6;0.0036982;270
7;0.0035279;283
8;0.0038625;259
9;0.003495;286
10;0.0034817;287
11;0.0041288;242
12;0.0052064;192
13;0.0039464;253
14;0.0031022;322
15;0.00389;257
16;0.0027484;364
17;0.0045439;220
18;0.0037897;264
19;0.0042598;235
20;0.0030691;326
21;0.0041894;239
22;0.0030842;324
23;0.0038935;257
24;0.0032717;306
25;0.0035254;284
26;0.0037407;267
27;0.0031906;313
28;0.0062862;159
29;0.0034241;292
30;0.0033551;298
31;0.0040444;247
32;0.0039358;254
33;0.0032654;306
34;0.0042654;234
35;0.0028189;355
36;0.0044732;224
37;0.003;333
38;0.0031083;322
39;0.003361;298
40;0.0025209;397
41;0.0038661;259
42;0.002679;373
43;0.0034457;290
44;0.0045103;222
45;0.0039827;251
46;0.0033711;297
47;0.0031768;315
48;0.003328;300
49;0.0043001;233
50;0.0032888;304
51;0.0030912;323
52;0.0035791;279
53;0.0035642;281
54;0.0055642;180
55;0.0029164;343
56;0.0028375;352
57;0.0030366;329
58;0.0044982;222
59;0.003217;311
60;0.0029452;340
61;0.003355;298
62;0.0037726;265
63;0.0060331;166
64;0.0024713;405
65;0.0028127;356
66;0.0033966;294
67;0.0047689;210
68;0.0030879;324
69;0.0030901;324
70;0.0031705;315
71;0.0037542;266
72;0.0050737;197
73;0.0024632;406
74;0.0032121;311
75;0.0033916;295
76;0.0042265;237
77;0.0031487;318
78;0.0034363;291
79;0.0031496;318
80;0.003409;293
81;0.005192;193
82;0.0026205;382
83;0.003101;322
84;0.0031048;322
85;0.0038351;261
86;0.0043051;232
87;0.00343;292
88;0.0031242;320
89;0.0032993;303
90;0.0039972;250
91;0.0039961;250
92;0.0030925;323
93;0.003142;318
94;0.0055568;180
95;0.0036124;277
96;0.0025139;398
97;0.0030081;332
98;0.0041681;240
99;0.0051535;194
