Frame;DeltaTime;FPS
0;0.0371764;27
1;0.0339628;29
2;0.0347034;29
3;0.0356896;28
4;0.0367822;27
5;0.0355398;28
6;0.0346983;29
7;0.0358013;28
8;0.0350441;29
9;0.0354319;28
10;0.0357158;28
11;0.0346637;29
12;0.0355658;28
13;0.0338378;30
14;0.0358702;28
15;0.0344123;29
16;0.0354418;28
17;0.0345692;29
18;0.0358954;28
19;0.0338435;30
20;0.036271;28
21;0.0334453;30
22;0.035979;28
23;0.0334026;30
24;0.0352887;28
25;0.0347995;29
26;0.0350623;29
27;0.0352826;28
28;0.035005;29
29;0.0343775;29
30;0.0358168;28
31;0.0347397;29
32;0.0359832;28
33;0.0344465;29
34;0.0349895;29
35;0.0340726;29
36;0.0346823;29
37;0.0365094;27
38;0.0338941;30
39;0.0352754;28
40;0.0352054;28
41;0.0355653;28
42;0.034874;29
43;0.0359029;28
44;0.036799;27
45;0.0352751;28
46;0.0361748;28
47;0.0337531;30
48;0.0351014;28
49;0.0351574;28
50;0.0369667;27
51;0.0326598;31
52;0.0352245;28
53;0.0365078;27
54;0.0352457;28
55;0.0349619;29
56;0.0357017;28
57;0.0341228;29
58;0.0353397;28
59;0.0346264;29
60;0.034809;29
61;0.0371617;27
62;0.0341881;29
63;0.0350879;28
64;0.0353936;28
65;0.0350236;29
66;0.0361041;28
67;0.0340438;29
68;0.0355021;28
69;0.0343701;29
70;0.036657;27
71;0.0359623;28
72;0.03655;27
73;0.0371932;27
74;0.0350507;29
75;0.035895;28
76;0.0362646;28
77;0.0364136;27
78;0.0363926;27
79;0.035236;28
80;0.0362055;28
81;0.0364849;27
82;0.0357578;28
83;0.0365094;27
84;0.0363382;28
85;0.0352503;28
86;0.0366652;27
87;0.0355689;28
88;0.0374028;27
89;0.0359366;28
90;0.0363903;27
91;0.0337161;30
92;0.0353921;28
93;0.0350746;29
94;0.0347286;29
95;0.0348756;29
96;0.0344376;29
97;0.0346412;29
98;0.0343442;29
99;0.0346027;29
