Frame;DeltaTime;FPS
0;0.0012366;809
1;0.0017874;559
2;0.0026138;383
3;0.0020174;496
4;0.0018747;533
5;0.0027062;370
6;0.001802;555
7;0.0019257;519
8;0.0023397;427
9;0.0034492;290
10;0.0020647;484
11;0.0023605;424
12;0.0030114;332
13;0.0036407;275
14;0.0037544;266
15;0.0030848;324
16;0.0035935;278
17;0.0036423;275
18;0.0030097;332
19;0.0038599;259
20;0.0038264;261
21;0.0030249;331
22;0.0030429;329
23;0.0035862;279
24;0.0032875;304
25;0.0031725;315
26;0.0031859;314
27;0.0039534;253
28;0.0036652;273
29;0.0033002;303
30;0.0025484;392
31;0.0024121;415
32;0.0029767;336
33;0.0035303;283
34;0.0024839;403
35;0.0019303;518
36;0.0022905;437
37;0.0024629;406
38;0.0025196;397
39;0.0030113;332
40;0.0034904;287
41;0.0025921;386
42;0.0025626;390
43;0.0026711;374
44;0.0028824;347
45;0.0038652;259
46;0.002323;430
47;0.0029899;334
48;0.0037745;265
49;0.004246;236
50;0.0029701;337
51;0.0024428;409
52;0.0025776;388
53;0.0029997;333
54;0.0023411;427
55;0.0029403;340
56;0.003288;304
57;0.0031322;319
58;0.0023477;426
59;0.0026162;382
60;0.0026748;374
61;0.0030561;327
62;0.0030767;325
63;0.0023663;423
64;0.0028955;345
65;0.0025858;387
66;0.0021544;464
67;0.0028351;353
68;0.0028566;350
69;0.0024727;404
70;0.0026456;378
71;0.0026189;382
72;0.0026639;375
73;0.003691;271
74;0.0030046;333
75;0.0025182;397
76;0.0026066;384
77;0.0025631;390
78;0.0030771;325
79;0.003493;286
80;0.0028451;351
81;0.0027546;363
82;0.0024984;400
83;0.0024468;409
84;0.0027979;357
85;0.0025532;392
86;0.0026133;383
87;0.0031145;321
88;0.0025397;394
89;0.0027758;360
90;0.0025514;392
91;0.0033425;299
92;0.0037229;269
93;0.0027293;366
94;0.0026808;373
95;0.0046544;215
96;0.0034262;292
97;0.0033193;301
98;0.0036783;272
99;0.0031047;322
