Frame;DeltaTime;FPS
0;0.005354;186.776
1;0.0054106;184.822
2;0.0065296;153.149
3;0.005371;186.185
4;0.0056685;176.414
5;0.0052966;188.8
6;0.0060793;164.493
7;0.0056426;177.223
8;0.0060525;165.221
9;0.0057163;174.938
10;0.0056495;177.007
11;0.0059578;167.847
12;0.0055735;179.42
13;0.0056813;176.016
14;0.0061927;161.48
15;0.0056479;177.057
16;0.0056034;178.463
17;0.0059364;168.452
18;0.0055922;178.82
19;0.0054121;184.771
20;0.0061782;161.859
21;0.0056618;176.622
22;0.0052651;189.93
23;0.0064117;155.965
24;0.0054799;182.485
25;0.0054252;184.325
26;0.006164;162.232
27;0.0060378;165.623
28;0.0052678;189.833
29;0.0061686;162.111
30;0.0055497;180.19
31;0.0055976;178.648
32;0.0058277;171.594
33;0.0059776;167.291
34;0.0057064;175.242
35;0.0065293;153.156
36;0.0050772;196.959
37;0.0055041;181.683
38;0.0057236;174.715
39;0.0054626;183.063
40;0.0055145;181.34
41;0.0056887;175.787
42;0.0054976;181.898
43;0.0063012;158.7
44;0.005657;176.772
45;0.0053801;185.87
46;0.0067163;148.892
47;0.005417;184.604
48;0.0052095;191.957
49;0.0060605;165.003
50;0.005674;176.243
51;0.0053827;185.78
52;0.0061655;162.193
53;0.0056502;176.985
54;0.0054664;182.936
55;0.0063862;156.588
56;0.0053328;187.519
57;0.0059894;166.962
58;0.0057177;174.896
59;0.0056563;176.794
60;0.0054544;183.338
61;0.0063942;156.392
62;0.005368;186.289
63;0.0054728;182.722
64;0.0061522;162.543
65;0.005902;169.434
66;0.0056803;176.047
67;0.0059982;166.717
68;0.0057223;174.755
69;0.0061823;161.752
70;0.0057309;174.493
71;0.0062003;161.283
72;0.0058028;172.331
73;0.00558;179.211
74;0.0053515;186.863
75;0.0063555;157.344
76;0.0056396;177.318
77;0.0055722;179.462
78;0.0065127;153.546
79;0.0057105;175.116
80;0.0057855;172.846
81;0.0064928;154.017
82;0.0059734;167.409
83;0.0064926;154.021
84;0.0059532;167.977
85;0.0057197;174.834
86;0.0072625;137.694
87;0.0053469;187.024
88;0.0056118;178.196
89;0.006457;154.871
90;0.0059307;168.614
91;0.0057513;173.874
92;0.0067497;148.155
93;0.0056157;178.072
94;0.0065063;153.697
95;0.0057022;175.371
96;0.0054666;182.929
97;0.0060673;164.818
98;0.0055908;178.865
99;0.0054132;184.734
