Frame;DeltaTime;FPS
0;0.0461805;22
1;0.0436569;23
2;0.0465659;21
3;0.045234;22
4;0.0432567;23
5;0.043466;23
6;0.0438349;23
7;0.0464896;22
8;0.0438927;23
9;0.045052;22
10;0.0468387;21
11;0.0442521;23
12;0.0451301;22
13;0.0441971;23
14;0.0434439;23
15;0.0456797;22
16;0.0441419;23
17;0.0446822;22
18;0.0455282;22
19;0.0425559;23
20;0.0436036;23
21;0.0448952;22
22;0.0438417;23
23;0.0444912;22
24;0.0447871;22
25;0.0477024;21
26;0.0449949;22
27;0.044173;23
28;0.0448895;22
29;0.044178;23
30;0.0433875;23
31;0.0451394;22
32;0.0438752;23
33;0.0448484;22
34;0.0441879;23
35;0.043396;23
36;0.0458421;22
37;0.0431317;23
38;0.0448876;22
39;0.0445137;22
40;0.0443325;23
41;0.0455737;22
42;0.0450996;22
43;0.0458783;22
44;0.0452919;22
45;0.0459669;22
46;0.0460127;22
47;0.0456674;22
48;0.0447495;22
49;0.0445479;22
50;0.0441452;23
51;0.0454216;22
52;0.0440231;23
53;0.0439536;23
54;0.0441662;23
55;0.0464327;22
56;0.0446394;22
57;0.0440366;23
58;0.0445391;22
59;0.0436973;23
60;0.0441519;23
61;0.0445801;22
62;0.0443417;23
63;0.0452343;22
64;0.0439018;23
65;0.0445038;22
66;0.045628;22
67;0.0460368;22
68;0.0467707;21
69;0.0476058;21
70;0.0465636;21
71;0.0459858;22
72;0.0449086;22
73;0.0455277;22
74;0.0456973;22
75;0.0456503;22
76;0.0452261;22
77;0.0441009;23
78;0.0447557;22
79;0.0442102;23
80;0.0447349;22
81;0.0454098;22
82;0.0454163;22
83;0.0439919;23
84;0.0447536;22
85;0.0445856;22
86;0.0440051;23
87;0.0450686;22
88;0.0439741;23
89;0.0441991;23
90;0.0425112;24
91;0.0444125;23
92;0.044493;22
93;0.0446354;22
94;0.0428607;23
95;0.0436535;23
96;0.0442736;23
97;0.0445786;22
98;0.0453678;22
99;0.0429944;23
