Frame;DeltaTime;FPS
0;0.0097989;102
1;0.0093355;107
2;0.011566;86
3;0.0080305;125
4;0.0108809;92
5;0.0087824;114
6;0.0088441;113
7;0.0123679;81
8;0.0080018;125
9;0.0097827;102
10;0.0102598;97
11;0.007814;128
12;0.0102219;98
13;0.0079786;125
14;0.0093639;107
15;0.0094354;106
16;0.0097037;103
17;0.0092668;108
18;0.009856;101
19;0.0078061;128
20;0.0094817;105
21;0.0094724;106
22;0.0096245;104
23;0.0084806;118
24;0.0098714;101
25;0.0089045;112
26;0.0084544;118
27;0.0100899;99
28;0.0089651;112
29;0.0089581;112
30;0.0134756;74
31;0.0130665;77
32;0.0040202;249
33;0.0072832;137
34;0.0094628;106
35;0.0089352;112
36;0.0110636;90
37;0.0085267;117
38;0.0091203;110
39;0.0088887;113
40;0.0085212;117
41;0.0095812;104
42;0.0082342;121
43;0.010176;98
44;0.0085615;117
45;0.0090357;111
46;0.0083595;120
47;0.009496;105
48;0.0106144;94
49;0.0076644;130
50;0.0087696;114
51;0.0086068;116
52;0.0089688;111
53;0.0087417;114
54;0.0093435;107
55;0.0086292;116
56;0.00954;105
57;0.0089371;112
58;0.0089949;111
59;0.0081889;122
60;0.0093768;107
61;0.008607;116
62;0.0089595;112
63;0.0089194;112
64;0.0094969;105
65;0.0085088;118
66;0.0094268;106
67;0.0088023;114
68;0.0094709;106
69;0.0112475;89
70;0.0074138;135
71;0.0101502;99
72;0.0074317;135
73;0.0094612;106
74;0.0088847;113
75;0.0090642;110
76;0.0088104;114
77;0.0089454;112
78;0.0098309;102
79;0.0079942;125
80;0.0103305;97
81;0.0091417;109
82;0.0093554;107
83;0.0078669;127
84;0.010002;100
85;0.0101411;99
86;0.0080622;124
87;0.0083146;120
88;0.0093429;107
89;0.0082814;121
90;0.0088813;113
91;0.0100806;99
92;0.0106692;94
93;0.007709;130
94;0.0089297;112
95;0.0089412;112
96;0.0084564;118
97;0.0090911;110
98;0.0090265;111
99;0.009678;103
