Frame;DeltaTime;FPS
0;0.122976;8
1;0.122529;8
2;0.124086;8
3;0.126437;8
4;0.122876;8
5;0.120761;8
6;0.120245;8
7;0.119971;8
8;0.120017;8
9;0.120571;8
10;0.120144;8
11;0.120159;8
12;0.121824;8
13;0.119511;8
14;0.119401;8
15;0.119517;8
16;0.11964;8
17;0.119458;8
18;0.119986;8
19;0.118319;8
20;0.120601;8
21;0.120057;8
22;0.119552;8
23;0.120464;8
24;0.118948;8
25;0.122194;8
26;0.116655;9
27;0.11896;8
28;0.120192;8
29;0.119135;8
30;0.119038;8
31;0.119116;8
32;0.12088;8
33;0.120118;8
34;0.119203;8
35;0.121296;8
36;0.118084;8
37;0.124283;8
38;0.119576;8
39;0.121457;8
40;0.119691;8
41;0.119316;8
42;0.121686;8
43;0.117739;8
44;0.122347;8
45;0.122634;8
46;0.120357;8
47;0.122941;8
48;0.120892;8
49;0.117215;9
50;0.12119;8
51;0.125197;8
52;0.124289;8
53;0.122167;8
54;0.123949;8
55;0.124203;8
56;0.123462;8
57;0.122201;8
58;0.121369;8
59;0.121353;8
60;0.120611;8
61;0.125405;8
62;0.122132;8
63;0.12338;8
64;0.12343;8
65;0.123242;8
66;0.121671;8
67;0.121361;8
68;0.120158;8
69;0.120767;8
70;0.125918;8
71;0.120884;8
72;0.121777;8
73;0.119301;8
74;0.120361;8
75;0.119799;8
76;0.121459;8
77;0.119528;8
78;0.120213;8
79;0.12067;8
80;0.120362;8
81;0.119964;8
82;0.122019;8
83;0.121221;8
84;0.129714;8
85;0.128874;8
86;0.124766;8
87;0.125401;8
88;0.129115;8
89;0.124982;8
90;0.123177;8
91;0.120111;8
92;0.122711;8
93;0.117669;8
94;0.116562;9
95;0.115868;9
96;0.117035;9
97;0.115026;9
98;0.118359;8
99;0.116568;9
