Frame;DeltaTime;FPS
0;0.0679685;15
1;0.0651016;15
2;0.061489;16
3;0.0637279;16
4;0.0616291;16
5;0.0615625;16
6;0.0613578;16
7;0.0617726;16
8;0.0618224;16
9;0.0626461;16
10;0.0635927;16
11;0.0664414;15
12;0.0633771;16
13;0.0641415;16
14;0.0645574;15
15;0.0612492;16
16;0.0612934;16
17;0.05921;17
18;0.0616019;16
19;0.0607207;16
20;0.0628414;16
21;0.0612446;16
22;0.0617296;16
23;0.0610921;16
24;0.064177;16
25;0.0605751;17
26;0.0605701;17
27;0.0608513;16
28;0.0614499;16
29;0.0612038;16
30;0.060234;17
31;0.0598835;17
32;0.0596689;17
33;0.061085;16
34;0.0608817;16
35;0.0612964;16
36;0.0650458;15
37;0.0627646;16
38;0.0614039;16
39;0.0613752;16
40;0.0626558;16
41;0.0611824;16
42;0.0596494;17
43;0.0601408;17
44;0.0615385;16
45;0.0625303;16
46;0.0603436;17
47;0.066511;15
48;0.059927;17
49;0.0624177;16
50;0.0615439;16
51;0.0622234;16
52;0.0619744;16
53;0.0624345;16
54;0.0607824;16
55;0.0624362;16
56;0.0618436;16
57;0.0614072;16
58;0.0613503;16
59;0.059968;17
60;0.0615535;16
61;0.0630397;16
62;0.0630973;16
63;0.0624341;16
64;0.0643997;16
65;0.0624715;16
66;0.062568;16
67;0.0624558;16
68;0.0664153;15
69;0.0637966;16
70;0.065338;15
71;0.0690737;14
72;0.0638289;16
73;0.0641794;16
74;0.0636859;16
75;0.0643375;16
76;0.0671326;15
77;0.0640925;16
78;0.0649283;15
79;0.0692754;14
80;0.0623617;16
81;0.0642008;16
82;0.0626742;16
83;0.0626969;16
84;0.0648283;15
85;0.0609752;16
86;0.0638022;16
87;0.0631715;16
88;0.0634358;16
89;0.0643665;16
90;0.0624242;16
91;0.0646992;15
92;0.0612012;16
93;0.062775;16
94;0.0612512;16
95;0.0627949;16
96;0.075992;13
97;0.0476836;21
98;0.0618279;16
99;0.0616043;16
