Frame;DeltaTime;FPS
0;0.0023775;421
1;0.0020486;488
2;0.0018423;543
3;0.0018086;553
4;0.0018536;539
5;0.001876;533
6;0.0050056;200
7;0.0019437;514
8;0.0016626;601
9;0.0016502;606
10;0.0019149;522
11;0.0025907;386
12;0.0035904;279
13;0.0037673;265
14;0.0028965;345
15;0.0030499;328
16;0.0025953;385
17;0.0033083;302
18;0.0042753;234
19;0.0027074;369
20;0.0027691;361
21;0.0025217;397
22;0.0031653;316
23;0.0033002;303
24;0.0033679;297
25;0.0033147;302
26;0.0025463;393
27;0.0029676;337
28;0.0043038;232
29;0.0031094;322
30;0.0029869;335
31;0.0033394;299
32;0.002933;341
33;0.0025826;387
34;0.0033359;300
35;0.0028757;348
36;0.0024952;401
37;0.0035317;283
38;0.0035053;285
39;0.0029962;334
40;0.0028215;354
41;0.0029114;343
42;0.0030745;325
43;0.0039659;252
44;0.0025308;395
45;0.0025971;385
46;0.0028585;350
47;0.0028795;347
48;0.0031232;320
49;0.0026475;378
50;0.0030362;329
51;0.0028572;350
52;0.0027043;370
53;0.0026269;381
54;0.0038821;258
55;0.002726;367
56;0.0026146;382
57;0.0026885;372
58;0.0027516;363
59;0.0030282;330
60;0.002628;381
61;0.0030257;331
62;0.0026352;379
63;0.0026753;374
64;0.0029753;336
65;0.0034375;291
66;0.0026033;384
67;0.0025783;388
68;0.0027259;367
69;0.0027072;369
70;0.0031199;321
71;0.0027912;358
72;0.0026775;373
73;0.0024885;402
74;0.0026668;375
75;0.003792;264
76;0.003382;296
77;0.0027418;365
78;0.0032884;304
79;0.0026556;377
80;0.0024481;408
81;0.003952;253
82;0.0026614;376
83;0.0027031;370
84;0.0025745;388
85;0.0030893;324
86;0.0026468;378
87;0.0031496;318
88;0.0025388;394
89;0.003086;324
90;0.0026465;378
91;0.00265;377
92;0.0036418;275
93;0.0034867;287
94;0.0024567;407
95;0.0025469;393
96;0.0025298;395
97;0.0026842;373
98;0.0047618;210
99;0.0027181;368
