Frame;DeltaTime;FPS
0;0.074334;13
1;0.0727603;14
2;0.0746893;13
3;0.0746729;13
4;0.0772355;13
5;0.0780065;13
6;0.0753576;13
7;0.0761599;13
8;0.0741233;13
9;0.0747234;13
10;0.0730994;14
11;0.0735207;14
12;0.075124;13
13;0.0724908;14
14;0.0758714;13
15;0.0775475;13
16;0.0786257;13
17;0.0707995;14
18;0.0733127;14
19;0.0727413;14
20;0.0731094;14
21;0.0733228;14
22;0.0732056;14
23;0.073154;14
24;0.073588;14
25;0.0769322;13
26;0.0730276;14
27;0.0735306;14
28;0.0747792;13
29;0.0728545;14
30;0.0732547;14
31;0.0734666;14
32;0.07353;14
33;0.0780864;13
34;0.0746809;13
35;0.0754027;13
36;0.0719414;14
37;0.0753274;13
38;0.0751613;13
39;0.0763902;13
40;0.0754721;13
41;0.0795387;13
42;0.0845708;12
43;0.0790341;13
44;0.0785962;13
45;0.0762427;13
46;0.0760931;13
47;0.0767122;13
48;0.0746734;13
49;0.0790117;13
50;0.0812443;12
51;0.079939;13
52;0.0787523;13
53;0.0778101;13
54;0.0819378;12
55;0.0816172;12
56;0.0846758;12
57;0.0783259;13
58;0.0783245;13
59;0.0824885;12
60;0.0807357;12
61;0.0815618;12
62;0.085309;12
63;0.0808439;12
64;0.0825162;12
65;0.0792177;13
66;0.0808647;12
67;0.0797005;13
68;0.0824359;12
69;0.0813472;12
70;0.0807777;12
71;0.0782062;13
72;0.0787758;13
73;0.0762272;13
74;0.0761517;13
75;0.0778542;13
76;0.0762124;13
77;0.080102;12
78;0.0793554;13
79;0.0769117;13
80;0.0784253;13
81;0.0802612;12
82;0.0813157;12
83;0.0795059;13
84;0.0799712;13
85;0.0782679;13
86;0.0805084;12
87;0.0778996;13
88;0.0761111;13
89;0.0769999;13
90;0.0773233;13
91;0.081284;12
92;0.0774103;13
93;0.0769417;13
94;0.0760318;13
95;0.0733183;14
96;0.0734714;14
97;0.0764697;13
98;0.0762088;13
99;0.0733244;14
