Frame;DeltaTime;FPS
0;0.0029823;335
1;0.0058924;170
2;0.0059225;169
3;0.00524;191
4;0.0052775;189
5;0.0052212;192
6;0.0050319;199
7;0.0053639;186
8;0.005022;199
9;0.0052717;190
10;0.0065626;152
11;0.002713;369
12;0.0048252;207
13;0.0051367;195
14;0.0051085;196
15;0.0063321;158
16;0.0061;164
17;0.0041716;240
18;0.0048358;207
19;0.0060346;166
20;0.0047757;209
21;0.0043331;231
22;0.0045984;217
23;0.0074206;135
24;0.0030708;326
25;0.0057715;173
26;0.0052267;191
27;0.0045896;218
28;0.0058259;172
29;0.0045144;222
30;0.0050214;199
31;0.0055173;181
32;0.0053431;187
33;0.0039411;254
34;0.0057951;173
35;0.005613;178
36;0.0049385;202
37;0.005686;176
38;0.0046129;217
39;0.0051276;195
40;0.0065965;152
41;0.0049306;203
42;0.0062605;160
43;0.0052098;192
44;0.0048301;207
45;0.0063113;158
46;0.0035732;280
47;0.0069393;144
48;0.0077612;129
49;0.0035933;278
50;0.0057103;175
51;0.0070385;142
52;0.0037192;269
53;0.0065995;152
54;0.0053288;188
55;0.004762;210
56;0.0065971;152
57;0.0051093;196
58;0.0039983;250
59;0.0052695;190
60;0.0055753;179
61;0.0042446;236
62;0.0057251;175
63;0.0059911;167
64;0.0048968;204
65;0.0076481;131
66;0.0046617;215
67;0.004885;205
68;0.0067243;149
69;0.005347;187
70;0.0052304;191
71;0.0063102;158
72;0.0073196;137
73;0.0035347;283
74;0.0048194;207
75;0.0044357;225
76;0.0055975;179
77;0.0047131;212
78;0.005845;171
79;0.0053007;189
80;0.0046224;216
81;0.0048791;205
82;0.0071194;140
83;0.0051621;194
84;0.0041375;242
85;0.0060213;166
86;0.0046061;217
87;0.0048401;207
88;0.0054633;183
89;0.0054986;182
90;0.0044702;224
91;0.0052742;190
92;0.0055379;181
93;0.0051155;195
94;0.0053316;188
95;0.0060032;167
96;0.0032079;312
97;0.0056438;177
98;0.0053688;186
99;0.0049408;202
