Frame;DeltaTime;FPS
0;0.246954;4
1;0.243768;4
2;0.246103;4
3;0.253237;4
4;0.245194;4
5;0.248065;4
6;0.246191;4
7;0.24703;4
8;0.248415;4
9;0.246585;4
10;0.244216;4
11;0.246661;4
12;0.245041;4
13;0.247236;4
14;0.245647;4
15;0.244989;4
16;0.248436;4
17;0.243816;4
18;0.246224;4
19;0.248296;4
20;0.24674;4
21;0.24709;4
22;0.248354;4
23;0.250171;4
24;0.259438;4
25;0.262456;4
26;0.259676;4
27;0.263873;4
28;0.253649;4
29;0.250968;4
30;0.260431;4
31;0.255632;4
32;0.248952;4
33;0.247359;4
34;0.2475;4
35;0.248734;4
36;0.244543;4
37;0.248382;4
38;0.252578;4
39;0.248069;4
40;0.244932;4
41;0.246077;4
42;0.248605;4
43;0.254294;4
44;0.264203;4
45;0.26013;4
46;0.261613;4
47;0.248396;4
48;0.245419;4
49;0.241817;4
50;0.24205;4
51;0.240166;4
52;0.239654;4
53;0.244897;4
54;0.239809;4
55;0.242328;4
56;0.242481;4
57;0.239236;4
58;0.242671;4
59;0.251726;4
60;0.253021;4
61;0.25111;4
62;0.240342;4
63;0.24117;4
64;0.244331;4
65;0.241645;4
66;0.240039;4
67;0.240199;4
68;0.241986;4
69;0.242222;4
70;0.240142;4
71;0.240422;4
72;0.240629;4
73;0.239948;4
74;0.242339;4
75;0.237028;4
76;0.242212;4
77;0.239363;4
78;0.240861;4
79;0.239234;4
80;0.240174;4
81;0.241794;4
82;0.243209;4
83;0.242605;4
84;0.250918;4
85;0.254591;4
86;0.256933;4
87;0.252499;4
88;0.246513;4
89;0.240467;4
90;0.243213;4
91;0.242019;4
92;0.240191;4
93;0.237984;4
94;0.23944;4
95;0.238999;4
96;0.240271;4
97;0.243174;4
98;0.23917;4
99;0.239794;4
