Frame;DeltaTime;FPS
0;0.0379039;26
1;0.0364126;27
2;0.0369533;27
3;0.0353629;28
4;0.0357486;28
5;0.0365529;27
6;0.0367469;27
7;0.0356076;28
8;0.0359294;28
9;0.0372286;27
10;0.0355688;28
11;0.0355101;28
12;0.0371673;27
13;0.0356571;28
14;0.0362414;28
15;0.0372827;27
16;0.0351399;28
17;0.036059;28
18;0.0350307;29
19;0.0363355;28
20;0.0355344;28
21;0.0358624;28
22;0.0369696;27
23;0.0360572;28
24;0.035455;28
25;0.0369229;27
26;0.0356617;28
27;0.0364127;27
28;0.0380534;26
29;0.0367826;27
30;0.035933;28
31;0.0386486;26
32;0.0436674;23
33;0.0411752;24
34;0.042075;24
35;0.0387998;26
36;0.0397529;25
37;0.0390438;26
38;0.0376737;27
39;0.040133;25
40;0.0408127;25
41;0.0428623;23
42;0.0406408;25
43;0.0414633;24
44;0.0454163;22
45;0.0318533;31
46;0.0418193;24
47;0.0409718;24
48;0.041427;24
49;0.0431613;23
50;0.0383906;26
51;0.0397036;25
52;0.0400541;25
53;0.0379108;26
54;0.0371296;27
55;0.037418;27
56;0.039331;25
57;0.0390808;26
58;0.0565306;18
59;0.0339461;29
60;0.0310927;32
61;0.0384721;26
62;0.0416983;24
63;0.0411493;24
64;0.0384089;26
65;0.0391815;26
66;0.0399287;25
67;0.0385339;26
68;0.0387207;26
69;0.0370619;27
70;0.038899;26
71;0.0361226;28
72;0.0368853;27
73;0.0393051;25
74;0.0380633;26
75;0.0385436;26
76;0.0383778;26
77;0.0430995;23
78;0.0365609;27
79;0.0345075;29
80;0.0389895;26
81;0.0350997;28
82;0.0353076;28
83;0.0355152;28
84;0.0390181;26
85;0.0380523;26
86;0.039051;26
87;0.034465;29
88;0.0364341;27
89;0.0383117;26
90;0.0363237;28
91;0.0367255;27
92;0.0358167;28
93;0.0362432;28
94;0.0364997;27
95;0.056732;18
96;0.0175288;57
97;0.0358414;28
98;0.0365654;27
99;0.0368704;27
