Frame;DeltaTime;FPS
0;0.0025005;400
1;0.0025793;388
2;0.0019265;519
3;0.0031277;320
4;0.0031424;318
5;0.0041096;243
6;0.0024463;409
7;0.0038411;260
8;0.0037493;267
9;0.003351;298
10;0.0036911;271
11;0.0027019;370
12;0.0035601;281
13;0.0025731;389
14;0.0039819;251
15;0.0027151;368
16;0.0025218;397
17;0.0031035;322
18;0.0029531;339
19;0.0030419;329
20;0.0032944;304
21;0.0027275;367
22;0.0040086;249
23;0.0030482;328
24;0.0035707;280
25;0.0034221;292
26;0.0027814;360
27;0.003555;281
28;0.0022301;448
29;0.0021911;456
30;0.0046326;216
31;0.002618;382
32;0.0027361;365
33;0.0028642;349
34;0.002362;423
35;0.003502;286
36;0.002512;398
37;0.0028277;354
38;0.0033512;298
39;0.0035345;283
40;0.0033207;301
41;0.0022292;449
42;0.0028299;353
43;0.0030106;332
44;0.0036145;277
45;0.0025216;397
46;0.0034732;288
47;0.0028264;354
48;0.0024008;417
49;0.0029263;342
50;0.0044211;226
51;0.0031299;319
52;0.0024507;408
53;0.0028541;350
54;0.0033767;296
55;0.0048112;208
56;0.0035474;282
57;0.0068715;146
58;0.0030286;330
59;0.0034263;292
60;0.0022159;451
61;0.0023955;417
62;0.0025983;385
63;0.0022589;443
64;0.0021053;475
65;0.0031558;317
66;0.0026029;384
67;0.0024823;403
68;0.0025879;386
69;0.0022189;451
70;0.0023263;430
71;0.0034819;287
72;0.002924;342
73;0.0039234;255
74;0.0024795;403
75;0.0024506;408
76;0.0039301;254
77;0.0029719;336
78;0.0029672;337
79;0.0027529;363
80;0.0031496;318
81;0.002796;358
82;0.002957;338
83;0.0035945;278
84;0.003481;287
85;0.0023073;433
86;0.0045519;220
87;0.0047472;211
88;0.00324;309
89;0.0031068;322
90;0.0032385;309
91;0.004894;204
92;0.0037191;269
93;0.0028017;357
94;0.0025565;391
95;0.0031165;321
96;0.0040227;249
97;0.0035698;280
98;0.0025047;399
99;0.0024995;400
