Frame;DeltaTime;FPS
0;0.0058859;169.898
1;0.0065775;152.033
2;0.0070583;141.677
3;0.0048827;204.805
4;0.0070261;142.326
5;0.0060263;165.939
6;0.0065182;153.417
7;0.0069932;142.996
8;0.0061947;161.428
9;0.0068641;145.686
10;0.0064398;155.284
11;0.0065048;153.733
12;0.0066542;150.281
13;0.0063814;156.705
14;0.007391;135.3
15;0.0063456;157.59
16;0.0062037;161.194
17;0.0072742;137.472
18;0.0066248;150.948
19;0.0071363;140.129
20;0.0066113;151.256
21;0.0077222;129.497
22;0.0063025;158.667
23;0.0060526;165.218
24;0.0072596;137.749
25;0.0063216;158.188
26;0.0064557;154.902
27;0.0072504;137.923
28;0.0062492;160.02
29;0.0067284;148.624
30;0.0066347;150.723
31;0.0062473;160.069
32;0.0066555;150.252
33;0.006849;146.007
34;0.00665;150.376
35;0.0067878;147.323
36;0.0064561;154.892
37;0.0060766;164.566
38;0.0060794;164.49
39;0.0067062;149.116
40;0.0065887;151.775
41;0.0059437;168.245
42;0.0063519;157.433
43;0.006096;164.042
44;0.0060457;165.407
45;0.0065363;152.992
46;0.0060398;165.568
47;0.0069641;143.594
48;0.0059044;169.365
49;0.0060828;164.398
50;0.0070005;142.847
51;0.0063078;158.534
52;0.0071545;139.772
53;0.0060449;165.429
54;0.0065552;152.551
55;0.0069501;143.883
56;0.0062867;159.066
57;0.0069671;143.532
58;0.0060314;165.799
59;0.0061734;161.985
60;0.0069912;143.037
61;0.0063932;156.416
62;0.0065853;151.853
63;0.0067242;148.717
64;0.0067272;148.65
65;0.0065752;152.087
66;0.0063342;157.873
67;0.0064032;156.172
68;0.0066259;150.923
69;0.0062964;158.821
70;0.0069137;144.64
71;0.0062733;159.406
72;0.0062468;160.082
73;0.0069024;144.877
74;0.0062475;160.064
75;0.0069657;143.561
76;0.0070374;142.098
77;0.0055965;178.683
78;0.0069292;144.317
79;0.0065986;151.547
80;0.0067112;149.005
81;0.006319;158.253
82;0.0066245;150.955
83;0.0068425;146.145
84;0.0059672;167.583
85;0.006142;162.813
86;0.0060012;166.633
87;0.0067836;147.414
88;0.0064849;154.204
89;0.0058105;172.102
90;0.006069;164.772
91;0.0064787;154.352
92;0.0059876;167.012
93;0.0061346;163.01
94;0.0066662;150.011
95;0.0057948;172.569
96;0.0067416;148.333
97;0.0063897;156.502
98;0.0067533;148.076
99;0.0066853;149.582
