Frame;DeltaTime;FPS
0;0.0024314;411.286
1;0.0036936;270.739
2;0.0030279;330.262
3;0.003669;272.554
4;0.0033986;294.239
5;0.0020037;499.077
6;0.0031178;320.739
7;0.0026121;382.834
8;0.0039604;252.5
9;0.0042204;236.944
10;0.0025308;395.132
11;0.0022306;448.31
12;0.0028098;355.897
13;0.0025457;392.819
14;0.0031483;317.632
15;0.0041979;238.214
16;0.0023133;432.283
17;0.0029015;344.649
18;0.002864;349.162
19;0.0027348;365.657
20;0.0027363;365.457
21;0.0023157;431.835
22;0.0024398;409.87
23;0.0030609;326.701
24;0.0026107;383.039
25;0.0024821;402.885
26;0.0039332;254.246
27;0.0020711;482.835
28;0.0029968;333.689
29;0.0027824;359.402
30;0.0030057;332.701
31;0.0039775;251.414
32;0.0022866;437.331
33;0.002616;382.263
34;0.002547;392.619
35;0.0025901;386.085
36;0.0030447;328.44
37;0.0040577;246.445
38;0.0026409;378.659
39;0.0024817;402.95
40;0.0022058;453.35
41;0.003685;271.37
42;0.0037372;267.58
43;0.0025825;387.222
44;0.0021444;466.331
45;0.0026539;376.804
46;0.0032071;311.808
47;0.0025278;395.601
48;0.0039689;251.959
49;0.0027847;359.105
50;0.0022255;449.337
51;0.0029742;336.225
52;0.0023174;431.518
53;0.0030291;330.131
54;0.0034301;291.537
55;0.0030139;331.796
56;0.0027459;364.179
57;0.0028395;352.175
58;0.0029742;336.225
59;0.0023612;423.513
60;0.0036751;272.101
61;0.0026883;371.982
62;0.0023721;421.567
63;0.0037346;267.766
64;0.0038455;260.044
65;0.0024192;413.36
66;0.0029368;340.507
67;0.0023555;424.538
68;0.0020875;479.042
69;0.0036887;271.098
70;0.0030325;329.761
71;0.0032998;303.049
72;0.0028426;351.791
73;0.0028826;346.909
74;0.0037911;263.776
75;0.0023803;420.115
76;0.0033328;300.048
77;0.0025865;386.623
78;0.002747;364.034
79;0.0028548;350.287
80;0.0028473;351.21
81;0.0036554;273.568
82;0.0029263;341.728
83;0.0028602;349.626
84;0.0033442;299.025
85;0.0024286;411.76
86;0.0030398;328.969
87;0.002769;361.141
88;0.0026477;377.686
89;0.0021188;471.965
90;0.0032473;307.948
91;0.0025225;396.432
92;0.0023407;427.223
93;0.0027498;363.663
94;0.0041195;242.748
95;0.0033403;299.374
96;0.0030201;331.115
97;0.0029036;344.4
98;0.0023852;419.252
99;0.0026998;370.398
