Frame;DeltaTime;FPS
0;0.0099889;100
1;0.0082188;122
2;0.0098875;101
3;0.0096247;104
4;0.0090737;110
5;0.0107755;93
6;0.006955;144
7;0.0092991;108
8;0.0087366;114
9;0.0096548;104
10;0.0080935;124
11;0.0093713;107
12;0.009511;105
13;0.0081615;123
14;0.0085774;117
15;0.0092909;108
16;0.0090129;111
17;0.0090981;110
18;0.0085813;117
19;0.0092917;108
20;0.0088161;113
21;0.0088734;113
22;0.0096965;103
23;0.0081845;122
24;0.0089992;111
25;0.0088615;113
26;0.0101443;99
27;0.0072105;139
28;0.0107452;93
29;0.0068589;146
30;0.0094916;105
31;0.0084046;119
32;0.0090165;111
33;0.0088028;114
34;0.009319;107
35;0.0103666;96
36;0.0080903;124
37;0.0105516;95
38;0.0075951;132
39;0.0089516;112
40;0.0091159;110
41;0.0092182;108
42;0.0086436;116
43;0.0089934;111
44;0.0098024;102
45;0.0079536;126
46;0.0097376;103
47;0.0083505;120
48;0.0091569;109
49;0.0086129;116
50;0.0096559;104
51;0.0111398;90
52;0.0067815;147
53;0.0084411;118
54;0.0089884;111
55;0.0086845;115
56;0.0093998;106
57;0.0084008;119
58;0.0096728;103
59;0.0091883;109
60;0.0091758;109
61;0.0091383;109
62;0.0081583;123
63;0.0092264;108
64;0.0085112;117
65;0.010251;98
66;0.0080462;124
67;0.0095792;104
68;0.0077542;129
69;0.009718;103
70;0.0083608;120
71;0.0089054;112
72;0.0085311;117
73;0.0093869;107
74;0.0105142;95
75;0.0078383;128
76;0.0096078;104
77;0.0085077;118
78;0.0098654;101
79;0.0083411;120
80;0.0091176;110
81;0.008775;114
82;0.0089936;111
83;0.0120566;83
84;0.0061283;163
85;0.0090951;110
86;0.0088291;113
87;0.0098805;101
88;0.008909;112
89;0.0090271;111
90;0.0085798;117
91;0.0091001;110
92;0.0088462;113
93;0.009103;110
94;0.009002;111
95;0.009022;111
96;0.0087292;115
97;0.0111053;90
98;0.0079275;126
99;0.0083461;120
