Frame;DeltaTime;FPS
0;0.0216739;46
1;0.0183249;55
2;0.0214261;47
3;0.0197918;51
4;0.020237;49
5;0.0217049;46
6;0.0194452;51
7;0.0197971;51
8;0.0210051;48
9;0.0211922;47
10;0.02065;48
11;0.0215883;46
12;0.0199267;50
13;0.0202415;49
14;0.0211628;47
15;0.0226294;44
16;0.0199912;50
17;0.0213137;47
18;0.0191548;52
19;0.0185428;54
20;0.0197018;51
21;0.0203939;49
22;0.0202028;49
23;0.0200646;50
24;0.0204592;49
25;0.0198375;50
26;0.0202878;49
27;0.0203043;49
28;0.0196297;51
29;0.0186373;54
30;0.020597;49
31;0.0198864;50
32;0.0194192;51
33;0.0200595;50
34;0.0208437;48
35;0.0182782;55
36;0.0198711;50
37;0.0203838;49
38;0.0196483;51
39;0.0200374;50
40;0.0192242;52
41;0.0199475;50
42;0.0194729;51
43;0.0198539;50
44;0.0205397;49
45;0.0216442;46
46;0.0195565;51
47;0.0208829;48
48;0.0206229;48
49;0.0200389;50
50;0.0192258;52
51;0.0198059;50
52;0.0214307;47
53;0.0186474;54
54;0.0194565;51
55;0.0201599;50
56;0.0225511;44
57;0.0191038;52
58;0.0203663;49
59;0.0196273;51
60;0.0195856;51
61;0.0189031;53
62;0.0197969;51
63;0.0200477;50
64;0.0202961;49
65;0.0180328;55
66;0.0200027;50
67;0.019809;50
68;0.0217248;46
69;0.0219367;46
70;0.0202426;49
71;0.0218584;46
72;0.0211459;47
73;0.0188343;53
74;0.0189305;53
75;0.0205135;49
76;0.0209426;48
77;0.0199386;50
78;0.0201434;50
79;0.0212276;47
80;0.020755;48
81;0.0206981;48
82;0.0206557;48
83;0.0194628;51
84;0.0195336;51
85;0.0195637;51
86;0.019575;51
87;0.0195563;51
88;0.0181057;55
89;0.0202299;49
90;0.0198725;50
91;0.0202502;49
92;0.0189557;53
93;0.0193195;52
94;0.0208146;48
95;0.0197054;51
96;0.0197675;51
97;0.0203298;49
98;0.019226;52
99;0.0203266;49
